Id,State,PostalCode,Categories,PriceRangeMax
438,FL,33613,"Pizza Place Village of Tampa,Restaurant,Pizza Place",25
439,FL,34210,Pizza Place,25
440,FL,33323,"Restaurant,Pizza Place",25
441,FL,32801,"Pizza Place Central Business District,Pizza Place",25
442,FL,33334,Pizza Place,25
443,FL,34293,"Restaurant,Pizza Place",25
444,FL,33021,Pizza Place,25
445,FL,33566,Pizza Place,25
446,FL,34285,"Pizza,Pizza Place,Restaurants,Sandwich Shops",25
447,FL,32127,"Pizza Place,Restaurants",25
448,FL,33912,"Pizza,Carry-out food,Pizza Place,Restaurants",25
449,FL,34202,"Pizza Place,Restaurants,Pizza Place Lakewood",25
450,FL,32065,"Restaurant,Pizza Place,Restaurants",25
451,FL,34470,"Pizza Place,Catering,Restaurants",25
452,FL,33547,"Italian Restaurant,Pizza Place",25
453,FL,32043,"Italian Restaurant,Pizza Place",25
454,FL,33614,Pizza Place,25
455,FL,32763,Pizza Place,25
456,FL,33409,"Pizza,Caterers,Pizza Place,Restaurants",25
457,FL,32202,Pizza Place,18
458,FL,34104,"Pizza Place Berkshire Lakes,Pizza Place,Restaurants",25
459,FL,33441,"Pizza,Restaurant,Italian restaurants,Pizza Place,Restaurants",25
460,FL,32789,"Restaurant,Pizza Place,Restaurants",25
461,FL,33316,"Pizza,American restaurants,Karaoke,Pizza Place,Restaurants",40
462,FL,33139,"Pizza,Restaurant,Pizza Place,Restaurants",25
463,FL,32766,"Pizza,Pizza Place,Restaurants",25
464,FL,33141,"Pizza,Restaurant,Italian,Pizza Place",25
465,FL,34205,"Restaurant,Pizza Place",25
466,FL,32968,"Restaurant,Pizza Place",25
467,FL,33180,Pizza Place,25
468,FL,33185,Pizza Place,25
469,FL,34471,"Pizza,Italian Restaurant,Pizza Place,Restaurants",25
470,FL,33511,"Pizza,Karaoke,Pizza Place,Restaurants",25
471,FL,34102,"Restaurant,Pizza Place",25
472,FL,33615,"Restaurant,Pizza Place",25
473,FL,32218,"Restaurant,Pizza Place",25
474,FL,33605,"Restaurant,Pizza Place",25
475,FL,33605,"Restaurant,Pizza Place",25
476,FL,32174,"Restaurant,Pizza Place",25
477,FL,33710,"Restaurant,Pizza Place",25
478,FL,32937,"Restaurant,Pizza Place",25
479,FL,33155,"Pizza,Restaurant,Pizza Place,Miami Restaurants",25
480,FL,34420,"Restaurant,Pizza Place",25
481,FL,32129,Pizza Place,25
482,FL,33186,"Restaurant,Pizza Place",25
483,FL,32246,"Restaurant,Pizza Place",40
484,FL,33139,"Pizza,Italian Restaurant,Restaurant,Italian,Salad Place,Pizza Place,Salad",40
485,FL,32073,"Restaurant,Pizza Place",40
486,FL,33602,"Restaurant,Pizza Place",25
487,FL,32446,"Restaurant,Pizza Place,Restaurants",25
