Id,City,Name,Address,Coordinates,StateCode
255,Bronx,Sal's Pizzeria,3167 Bainbridge Ave,[40.87533] [-73.879657],NY
256,Bronx,University Pizza & Restaurant,574 E Fordham Rd,[40.858718] [-73.885875],NY
257,Bronx,Goodfella's Pizza,3661 Waldo Ave,[40.887121] [-73.904301],NY
258,Bronx,Dino's Pizzeria,5660 Mosholu Ave,[40.905048] [-73.901438],NY
259,Bronx,Venezia Pizzeria,1115 Astor Ave,[40.859736] [-73.855758],NY
260,Bronx,Joe's Pizza,3009a Middletown Rd,[40.843982] [-73.830015],NY
261,Bronx,Pizza Hut,2019 Westchester Avenue,[40.833864] [-73.857013],NY
262,Bronx,Captain's Pizzeria & Restaurant,1056 Morris Park Ave,[40.848698] [-73.854256],NY
263,Bronx,Tony & Tina's Pizza,2483 Arthur Ave,[40.85740366] [-73.88597841],NY
264,Bronx,Franks Original Pizza Italia,768 Castle Hill Ave,[40.8227786] [-73.84894464],NY
265,Brooklyn,Royal Kings Pizza,5211 5th Ave,[40.6437] [-74.01174],NY
266,Brooklyn,Franklin Pizza,109 Franklin St,[40.729763] [-73.95753],NY
267,Brooklyn,Tonys Pizza,1107 Rutland Rd,[40.664732] [-73.923207],NY
268,Brooklyn,Pizza World,1387 Coney Island Ave,[40.623776] [-73.964585],NY
269,Brooklyn,J V Pizzeria,6316 18th Ave,[40.619841] [-73.989539],NY
270,Brooklyn,Vesuvius Pizza,1800 Kings Hwy,[40.60992] [-73.955536],NY
271,Brooklyn,Lennys Pizza,1845 Nostrand Ave,[40.64067] [-73.948433],NY
272,Brooklyn,La Bella Mariella Pizza II,374 Metropolitan Ave,[40.714153] [-73.955561],NY
273,Brooklyn,MontyQs Brick Oven Pizza,158 Montague St,[40.69437] [-73.992879],NY
274,Brooklyn,620 on Caton Pizzeria and Restaurant,620 Caton Ave,[40.647509] [-73.973925],NY
275,Brooklyn,Tomato and Basil,226 4th Ave,[40.677378] [-73.983129],NY
276,Brooklyn,Papa Johns Pizza,1654 86th St,[40.609099] [-74.006072],NY
277,Brooklyn,Ignazios Pizza,4 Water St,[40.703299] [-73.994029],NY
278,Brooklyn,Pizza Prince,86 Nassau Ave,[40.723899] [-73.95053],NY
279,Brooklyn,Saporita Pizza,27 Smith St,[40.690609] [-73.98788],NY
280,Brooklyn,Fascati Pizza,80 Henry St,[40.698355] [-73.992522],NY
281,Brooklyn,Pinos La Forchetta,181 7th Ave,[40.671422] [-73.977831],NY
282,Brooklyn,Casanova Family Italian Restaurant Pizzeria,338 McGuinness Blvd,[40.734057] [-73.952082],NY
283,Brooklyn,DaVincis Pizzeria,6514 18th Ave,[40.618882] [-73.990799],NY
284,Brooklyn,Peter Pizza,2358 80th St,[40.603396] [-73.985749],NY
285,Brooklyn,Armandos Pizza,1717 Broadway,[40.683405] [-73.911306],NY
286,Brooklyn,Ben's Pizzeria,8125 3rd Ave,[40.626485] [-74.029692],NY
287,Brooklyn,Bergen Pizza,67 6th Ave,[40.68059] [-73.974394],NY
288,Brooklyn,Knapp Pizza III,427 Kings Hwy,[40.604633] [-73.974098],NY
289,Brooklyn,Billys Pizza,1627 Bedford Ave.,[40.667097] [-73.956329],NY
290,Brooklyn,Mario's Pizzeria,373 Waverly Ave,[40.686832] [-73.96639],NY
291,Brooklyn,Papa John's Pizza,138 4th Ave,[40.6803] [-73.9814],NY
292,Brooklyn,Tonys Pizza On Nostrand,850 Nostrand Ave,[40.668858] [-73.95086],NY
293,Brooklyn,Albanese Pizza Restaurant,412 5th Ave,[40.670147] [-73.985457],NY
294,Brooklyn,Verrazano Pizza,9102 4th Ave,[40.619143] [-74.029998],NY
295,Brooklyn,Smiling Pizza Restaurant,323 7th Ave,[40.667034] [-73.981452],NY
296,Brooklyn,Gino's Restaurant,7414 5th Ave,[40.62987] [-74.02249],NY
